region,age,density
Western Europe,4.9001,0.16589
Western Europe,4.88511,0.16199
Western Europe,4.87013,0.15851
Western Europe,4.85514,0.15637
Western Europe,4.84016,0.15511
Western Europe,4.82517,0.15306
Western Europe,4.81019,0.15012
Western Europe,4.7952,0.14754
Western Europe,4.78022,0.14497
Western Europe,4.76523,0.14202
Western Europe,4.75025,0.13997
Western Europe,4.73526,0.13872
Western Europe,4.72028,0.13667
Western Europe,4.70529,0.13382
Western Europe,4.69031,0.13187
Western Europe,4.67532,0.13115
Western Europe,4.66034,0.13043
Western Europe,4.64535,0.12847
Western Europe,4.63037,0.12562
Western Europe,4.61538,0.12358
Western Europe,4.6004,0.12232
Western Europe,4.58541,0.12028
Western Europe,4.57043,0.11743
Western Europe,4.55544,0.11548
Western Europe,4.54046,0.11486
Western Europe,4.52547,0.11476
Western Europe,4.51049,0.11475
Western Europe,4.4955,0.11475
Western Europe,4.48052,0.11475
Western Europe,4.46553,0.11475
Western Europe,4.45055,0.11475
Western Europe,4.43556,0.11475
Western Europe,4.42058,0.11475
Western Europe,4.40559,0.11475
Western Europe,4.39061,0.11465
Western Europe,4.37562,0.11403
Western Europe,4.36064,0.11208
Western Europe,4.34565,0.10923
Western Europe,4.33067,0.10729
Western Europe,4.31568,0.10666
Western Europe,4.3007,0.10656
Western Europe,4.28571,0.10656
Western Europe,4.27073,0.10656
Western Europe,4.25574,0.10656
Western Europe,4.24076,0.10656
Western Europe,4.22577,0.10656
Western Europe,4.21079,0.10656
Western Europe,4.1958,0.10656
Western Europe,4.18082,0.10666
Western Europe,4.16583,0.10729
Western Europe,4.15085,0.10923
Western Europe,4.13586,0.11208
Western Europe,4.12088,0.11403
Western Europe,4.10589,0.11465
Western Europe,4.09091,0.11475
Western Europe,4.07592,0.11475
Western Europe,4.06094,0.11475
Western Europe,4.04595,0.11475
Western Europe,4.03097,0.11475
Western Europe,4.01598,0.11475
Western Europe,4.001,0.11475
Western Europe,3.98601,0.11475
Western Europe,3.97103,0.11475
