study,group,x,y
LifeLD_VilaAV_2018,IBD,0.15284552845528454,0.22439024390243903
LifeLD_VilaAV_2018,IBD,0.24336043360433607,0.18807588075880763
LifeLD_VilaAV_2018,IBD,0.23507549361207894,0.16306620209059233
LifeLD_VilaAV_2018,IBD,0.07293844367015095,0.14076655052264805
LifeLD_VilaAV_2018,IBD,0.10864745011086474,0.00960827790096087
LifeLD_VilaAV_2018,IBD,0.13365853658536583,0.0019512195121951035
LifeLD_VilaAV_2018,IBD,0.2855284552845529,-0.062113821138211366
LifeLD_VilaAV_2018,IBD,0.0065040650406504065,-0.10894308943089431
LifeLD_VilaAV_2018,IBD,0.3125203252032521,-0.12910569105691053
LifeLD_VilaAV_2018,IBD,0.25867208672086717,-0.13211382113821138
LifeLD_VilaAV_2018,IBD,0.24028906955736223,-0.1416440831074977
LifeLD_VilaAV_2018,IBD,0.22547425474254745,-0.14742547425474248
LifeLD_VilaAV_2018,IBD,0.3475609756097561,-0.1565040650406504
LifeLD_VilaAV_2018,IBD,0.18711231556760013,-0.16651610960554047
LifeLD_VilaAV_2018,IBD,0.17154471544715447,-0.1861788617886179
LifeLD_VilaAV_2018,IBD,0.19566395663956637,-0.1878048780487805
LifeLD_VilaAV_2018,IBD,0.31507191994996864,-0.21988742964352728
LifeLD_VilaAV_2018,IBD,0.24227642276422764,-0.22872628726287256
LifeLD_VilaAV_2018,IBD,0.23495934959349593,-0.24959349593495936
LifeLD_VilaAV_2018,IBD,0.43882113821138213,-0.2613821138211382
LifeLD_VilaAV_2018,IBD,0.3224932249322494,-0.2655826558265583
LifeLD_VilaAV_2018,IBD,0.40203252032520326,-0.2654471544715447
LifeLD_VilaAV_2018,IBD,0.3974706413730804,-0.26991869918699185
LifeLD_VilaAV_2018,IBD,0.36260162601626017,-0.28536585365853656
LifeLD_VilaAV_2018,IBD,0.258980044345898,-0.2936437546193644
LifeLD_VilaAV_2018,IBD,0.28162601626016265,-0.3037398373983739
LifeLD_VilaAV_2018,IBD,0.306869918699187,-0.31796747967479666
LifeLD_VilaAV_2018,IBD,0.25348737697903295,-0.3293966623876765
NielsenHB_2014,IBD,0.3468834688346884,0.5279132791327914
