id,group,title,source
152,sample-stm6,Topic Distribution Similarity Evolution,OPC-coverage-figures-20260908/stm/en/global/Topic Distribution Similarity Evolution.png
153,sample-stm6,Topic Proportion Distribution,OPC-coverage-figures-20260908/stm/en/global/Topic Proportion Distribution.png
154,sample-stm6,Topic Strength by Year,OPC-coverage-figures-20260908/stm/en/global/Topic Strength by Year.png
155,sample-stm6,covariate_effect_anova,OPC-coverage-figures-20260908/stm/en/global/covariate_effect_anova.png
156,sample-stm6,covariate_topic_heatmap,OPC-coverage-figures-20260908/stm/en/global/covariate_topic_heatmap.png
157,sample-stm6,doc_topic_umap,OPC-coverage-figures-20260908/stm/en/global/doc_topic_umap.png
158,sample-stm6,platform_dominant_topics,OPC-coverage-figures-20260908/stm/en/global/platform_dominant_topics.png
159,sample-stm6,platform_dominant_topics_2,OPC-coverage-figures-20260908/stm/en/global/platform_dominant_topics_2.png
160,sample-stm6,platform_dominant_topics_3,OPC-coverage-figures-20260908/stm/en/global/platform_dominant_topics_3.png
161,sample-stm6,platform_topic_deviation,OPC-coverage-figures-20260908/stm/en/global/platform_topic_deviation.png
162,sample-stm6,platform_topic_stacked,OPC-coverage-figures-20260908/stm/en/global/platform_topic_stacked.png
163,sample-stm6,Source-to-topic Sankey,OPC-coverage-figures-20260908/stm/en/global/source_topic_sankey.png
164,sample-stm6,stm_gamma_coefficients,OPC-coverage-figures-20260908/stm/en/global/stm_gamma_coefficients.png
165,sample-stm6,Circular correlation network,OPC-coverage-figures-20260908/stm/en/global/topic_network_circular.png
166,sample-stm6,topic_similarity,OPC-coverage-figures-20260908/stm/en/global/topic_similarity.png
167,sample-stm6,topic_table_1,OPC-coverage-figures-20260908/stm/en/global/topic_table_1.png
168,sample-stm6,Word-cloud grid 1,OPC-coverage-figures-20260908/stm/en/global/topic_wordcloud_grid_1.png
169,sample-stm6,Year-to-topic Sankey,OPC-coverage-figures-20260908/stm/en/global/year_topic_sankey.png
170,sample-stm6,T1 · Topic 1 Word Cloud,OPC-coverage-figures-20260908/stm/en/topic/topic_1/Topic 1 Word Cloud.png
171,sample-stm6,T1 · Topic 1 Word Distribution,OPC-coverage-figures-20260908/stm/en/topic/topic_1/Topic 1 Word Distribution.png
172,sample-stm6,T1 · Topic Evolution,OPC-coverage-figures-20260908/stm/en/topic/topic_1/Topic Evolution.png
173,sample-stm6,T2 · Topic 2 Word Cloud,OPC-coverage-figures-20260908/stm/en/topic/topic_2/Topic 2 Word Cloud.png
174,sample-stm6,T2 · Topic 2 Word Distribution,OPC-coverage-figures-20260908/stm/en/topic/topic_2/Topic 2 Word Distribution.png
175,sample-stm6,T2 · Topic Evolution,OPC-coverage-figures-20260908/stm/en/topic/topic_2/Topic Evolution.png
176,sample-stm6,T3 · Topic 3 Word Cloud,OPC-coverage-figures-20260908/stm/en/topic/topic_3/Topic 3 Word Cloud.png
177,sample-stm6,T3 · Topic 3 Word Distribution,OPC-coverage-figures-20260908/stm/en/topic/topic_3/Topic 3 Word Distribution.png
178,sample-stm6,T3 · Topic Evolution,OPC-coverage-figures-20260908/stm/en/topic/topic_3/Topic Evolution.png
